data_extracao;idacidente;longitude;latitude;log1;log2;predial1;tipo_acid;queda_arr;data;dia_sem;hora;feridos;feridos_gr;mortes;morte_post;fatais;auto;taxi;lotacao;onibus_urb;onibus_met;onibus_int;caminhao;moto;carroca;bicicleta;outro;noite_dia;regiao;cont_vit;ups;consorcio
2020-11-01 01:34:07;600997;-51.162505;-30.065339;R NOVE DE JUNHO;;333;ABALROAMENTO;0;2015-01-02 00:00:00;SEXTA-FEIRA;16:20:00;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;DIA;LESTE               ;1;5;
2020-11-01 01:34:07;601005;-51.229128;-30.027656;R URUGUAI;;97;ATROPELAMENTO;0;2015-01-03 00:00:00;SÁBADO;06:59:00;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;DIA;CENTRO              ;1;5;
2020-11-01 01:34:07;601007;-51.198287;-30.075380;R PEDRO BOTICARIO;;884;ABALROAMENTO;0;2015-01-03 00:00:00;SÁBADO;14:20:00;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;SUL                 ;1;5;
2020-11-01 01:34:07;601056;-51.037317;-30.213690;ESTR ARMANDO INACIO DA SILVEIRA;;2885;COLISÃO;0;2015-01-05 00:00:00;SEGUNDA-FEIRA;18:00:00;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;NOITE;SUL                 ;1;5;
2020-11-01 01:34:07;601058;-51.189418;-30.085913;R DA GRUTA;AV PROF OSCAR PEREIRA;0;CHOQUE;0;2015-01-05 00:00:00;SEGUNDA-FEIRA;20:30:00;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;NOITE;SUL                 ;0;1;
2020-11-01 01:34:07;601071;-51.174351;-30.008022;AV ASSIS BRASIL;;1144;ABALROAMENTO;0;2015-01-02 00:00:00;SEXTA-FEIRA;13:50:00;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;DIA;NORTE               ;0;1;
2020-11-01 01:34:07;601073;-51.199380;-30.001999;;;0;CHOQUE;0;2015-01-03 00:00:00;SÁBADO;10:50;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;NORTE               ;0;1;
2020-11-01 01:34:07;601081;-51.207033;-30.002251;;;3705;COLISÃO;0;2015-01-05 00:00:00;SEGUNDA-FEIRA;07:10;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;NORTE               ;0;1;
2020-11-01 01:34:07;601130;-51.135126;-30.033536;R TEN ARY TARRAGO;AV MARIO MENEGHETTI;0;COLISÃO;0;2015-01-02 00:00:00;SEXTA-FEIRA;09:45:00;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;DIA;LESTE               ;0;1;UNIBUS
2020-11-01 01:34:07;601136;-51.233459;-30.042116;;;0;COLISÃO;0;2015-01-03 00:00:00;SÁBADO;19:00;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;NOITE;CENTRO              ;0;1;
2020-11-01 01:34:07;601157;-51.185737;-30.026557;;;993;COLISÃO;0;2015-01-05 00:00:00;SEGUNDA-FEIRA;13:45;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;DIA;LESTE               ;0;1;
2020-11-01 01:34:07;601159;-51.163188;-30.040002;;;4809;CHOQUE;0;2015-01-05 00:00:00;SEGUNDA-FEIRA;14:55;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;LESTE               ;0;1;
2020-11-01 01:34:07;601161;-51.115314;-30.038101;;;9698;ABALROAMENTO;0;2015-01-05 00:00:00;SEGUNDA-FEIRA;09:30;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;DIA;LESTE               ;0;1;CARRIS
2020-11-01 01:34:07;601163;-51.210011;-30.049385;;;0;ABALROAMENTO;0;2015-01-05 00:00:00;SEGUNDA-FEIRA;06:50;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;LESTE               ;0;1;
2020-11-01 01:34:07;601169;-51.200863;-30.053950;;;1206;COLISÃO;0;2015-01-06 00:00:00;TERÇA-FEIRA;13:15;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;DIA;LESTE               ;0;1;
2020-11-01 01:34:07;601201;-51.224719;-30.035819;;;0;COLISÃO;0;2015-01-07 00:00:00;QUARTA-FEIRA;13:50;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;CENTRO              ;0;1;
2020-11-01 01:34:07;601203;-51.221524;-30.060693;;;987;ABALROAMENTO;0;2015-01-08 00:00:00;QUINTA-FEIRA;09:00;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;SUL                 ;0;1;
2020-11-01 01:34:07;601209;-51.088212;-30.045882;AV PROTASIO ALVES;;12790;ABALROAMENTO;0;2015-01-09 00:00:00;SEXTA-FEIRA;07:40:00;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;DIA;NORTE               ;1;5;
2020-11-01 01:34:07;601214;-51.213784;-30.026250;AV CRISTOVAO COLOMBO;;398;ABALROAMENTO;0;2015-01-05 00:00:00;SEGUNDA-FEIRA;15:20:00;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;DIA;NORTE               ;1;5;
2020-11-01 01:34:07;601216;-51.218892;-30.044069;;;16;CHOQUE;0;2015-01-08 00:00:00;QUINTA-FEIRA;09:00;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;CENTRO              ;0;1;
2020-11-01 01:34:07;601232;-51.158483;-30.057842;R CAPITAO PEDRO WERLANG;;87;ABALROAMENTO;0;2015-01-09 00:00:00;SEXTA-FEIRA;19:00:00;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;NOITE;LESTE               ;1;5;
2020-11-01 01:34:07;601293;-51.213988;-30.019024;;;1733;ABALROAMENTO;0;2015-01-07 00:00:00;QUARTA-FEIRA;10:00;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;DIA;NORTE               ;0;1;
2020-11-01 01:34:07;601295;-51.136335;-30.007339;;;351;CHOQUE;0;2015-01-07 00:00:00;QUARTA-FEIRA;08:15;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;NORTE               ;0;1;
2020-11-01 01:34:07;601301;-51.194614;-30.041037;;;2075;ABALROAMENTO;0;2015-01-08 00:00:00;QUINTA-FEIRA;09:30;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;LESTE               ;0;1;
2020-11-01 01:34:07;601307;-51.154646;-30.022119;;;450;CHOQUE;0;2015-01-08 00:00:00;QUINTA-FEIRA;08:10;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;DIA;NORTE               ;0;1;
2020-11-01 01:34:07;601315;-51.176823;-30.112636;;;8753;EVENTUAL;0;2015-01-08 00:00:00;QUINTA-FEIRA;13:20;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;DIA;SUL                 ;0;1;
2020-11-01 01:34:07;601321;-51.181836;-30.155642;;;983;ABALROAMENTO;0;2015-01-08 00:00:00;QUINTA-FEIRA;08:45;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;SUL                 ;0;1;
2020-11-01 01:34:07;601323;-51.221880;-30.034029;;;0;COLISÃO;0;2015-01-08 00:00:00;QUINTA-FEIRA;07:05;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;CENTRO              ;0;1;
2020-11-01 01:34:07;601338;-51.133298;-30.097172;AV SANTO DIAS DA SILVA;;550;COLISÃO;0;2015-01-13 00:00:00;TERÇA-FEIRA;17:15:00;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;DIA;SUL                 ;1;5;
2020-11-01 01:34:07;601344;-51.109149;-30.016058;;;3640;CHOQUE;0;2015-01-09 00:00:00;SEXTA-FEIRA;07:00;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;DIA;NORTE               ;0;1;
2020-11-01 01:34:07;601352;-51.184053;-30.017132;;;0;ABALROAMENTO;0;2015-01-09 00:00:00;SEXTA-FEIRA;14:00;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;DIA;NORTE               ;0;1;
2020-11-01 01:34:07;601360;-51.182884;-30.066047;;;120;ABALROAMENTO;0;2015-01-09 00:00:00;SEXTA-FEIRA;15:19;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;DIA;SUL                 ;0;1;
2020-11-01 01:34:07;601362;-51.130141;-29.995040;;;0;ABALROAMENTO;0;2015-01-10 00:00:00;SÁBADO;07:20;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;DIA;NORTE               ;0;1;CONORTE
2020-11-01 01:34:07;601366;-51.130085;-29.994154;;;0;ABALROAMENTO;0;2015-01-10 00:00:00;SÁBADO;18:00;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;NOITE;NORTE               ;0;1;CONORTE
2020-11-01 01:34:07;601372;-51.208649;-30.018378;;;0;ABALROAMENTO;0;2015-01-13 00:00:00;TERÇA-FEIRA;07:50;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;NORTE               ;0;1;
2020-11-01 01:34:07;190816;;;R MARCOS MOREIRA;R GASTON ENGLERT;0;ABALROAMENTO;0;2020-10-17 00:00:00;SÁBADO;19:00:00;1;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;NOITE;NORTE               ;1;5;
2020-11-01 01:34:07;601006;-51.145218;-30.040579;R DR OTAVIO SANTOS;;240;QUEDA;0;2015-01-03 00:00:00;SÁBADO;14:00:00;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;DIA;NORTE               ;1;5;
2020-11-01 01:34:07;601028;-51.232759;-30.037344;;;0;EVENTUAL;0;2015-01-02 00:00:00;SEXTA-FEIRA;13:15;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;DIA;CENTRO              ;0;1;
2020-11-01 01:34:07;601030;-51.188063;-30.065869;;;0;ABALROAMENTO;0;2015-01-02 00:00:00;SEXTA-FEIRA;11:48;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;DIA;SUL                 ;0;1;CARRIS
2020-11-01 01:34:07;601036;-51.111737;-30.008416;AV DR RUBEM KNIJNIK;AV EDU LAS-CASAS;0;ABALROAMENTO;0;2015-01-05 00:00:00;SEGUNDA-FEIRA;18:00:00;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;NOITE;NORTE               ;1;5;
2020-11-01 01:34:07;601080;-51.214493;-30.026976;R SANTO ANTONIO;;215;COLISÃO;0;2015-01-05 00:00:00;SEGUNDA-FEIRA;17:02:00;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;CENTRO              ;0;1;
2020-11-01 01:34:07;601082;-51.160225;-29.985233;;;0;COLISÃO;0;2015-01-05 00:00:00;SEGUNDA-FEIRA;08:30;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;NORTE               ;0;1;
2020-11-01 01:34:07;601088;-51.187754;-30.013369;R DOM PEDRO II;;723;EVENTUAL;0;2015-01-05 00:00:00;SEGUNDA-FEIRA;12:40:00;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;DIA;NORTE               ;0;1;
2020-11-01 01:34:07;601096;-51.193754;-29.998397;;;289;COLISÃO;0;2015-01-06 00:00:00;TERÇA-FEIRA;09:05;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;NORTE               ;0;1;
2020-11-01 01:34:07;601129;-51.184667;-30.117455;;;5001;ABALROAMENTO;0;2015-01-01 00:00:00;QUINTA-FEIRA;11:00;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;SUL                 ;0;1;
2020-11-01 01:34:07;601131;-51.178310;-30.047289;AV SENADOR TARSO DUTRA;R DR JOSE CARVALHO BERNARDES;0;COLISÃO;0;2015-01-02 00:00:00;SEXTA-FEIRA;15:15:00;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;DIA;LESTE               ;0;1;
2020-11-01 01:34:07;601164;-51.203520;-30.028640;;;366;ABALROAMENTO;0;2015-01-05 00:00:00;SEGUNDA-FEIRA;12:40;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;LESTE               ;0;1;
2020-11-01 01:34:07;601170;-51.200187;-30.028498;;;0;COLISÃO;0;2015-01-06 00:00:00;TERÇA-FEIRA;12:50;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;LESTE               ;0;1;
2020-11-01 01:34:07;601172;-51.201248;-30.039014;;;696;ABALROAMENTO;0;2015-01-06 00:00:00;TERÇA-FEIRA;12:11;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;DIA;LESTE               ;0;1;
2020-11-01 01:34:07;601196;-51.208783;-30.072663;;;2148;ABALROAMENTO;0;2015-01-06 00:00:00;TERÇA-FEIRA;13:20;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;DIA;SUL                 ;0;1;STS
2020-11-01 01:34:07;601202;-51.230009;-30.029145;;;0;COLISÃO;0;2015-01-07 00:00:00;QUARTA-FEIRA;14:36;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;CENTRO              ;0;1;
2020-11-01 01:34:07;601204;-51.229523;-30.049342;;;2500;COLISÃO;0;2015-01-08 00:00:00;QUINTA-FEIRA;11:20;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;SUL                 ;0;1;
2020-11-01 01:34:07;601227;-51.130132;-29.995289;AV SALVADOR LEAO;;7;ABALROAMENTO;0;2015-01-09 00:00:00;SEXTA-FEIRA;18:04:00;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;NOITE;NORTE               ;1;5;
