id;longitude;latitude;log1;log2;predial;tipo_acid;data;dia_sem;hora;feridos;fatais;automoveis;transporte_publico;caminhao;moto;bicicleta;outros;vitimas;precipitacao;chuva
601445;-51.189246999999995;-29.999328000000002;nan;nan;0;ABALROAMENTO;2015-01-11;DOMINGO;22:00;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601479;-51.135746999999995;-30.042582;nan;nan;0;COLISÃO;2015-01-13;TERÇA-FEIRA;14:45;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601481;-51.186112;-30.028168;nan;nan;706;COLISÃO;2015-01-13;TERÇA-FEIRA;15:00;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601487;-51.175693;-30.181694;AV JUCA BATISTA;nan;7675;ABALROAMENTO;2015-01-13;TERÇA-FEIRA;14:10:00;0;0;1;0;1;0;0;0;0;0.0;Sem chuva
601491;-51.158773;-30.008265;nan;nan;0;ABALROAMENTO;2015-01-13;TERÇA-FEIRA;07:40;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601501;-51.217667;-30.026594;nan;nan;161;COLISÃO;2015-01-13;TERÇA-FEIRA;18:50;0;0;1;1;0;0;0;0;0;0.0;Sem chuva
601507;-51.187515000000005;-30.018806;nan;nan;0;ABALROAMENTO;2015-01-13;TERÇA-FEIRA;09:00;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601509;-51.227047;-30.026163;nan;nan;0;ABALROAMENTO;2015-01-14;QUARTA-FEIRA;15:20;0;0;1;0;0;1;0;0;0;0.0;Sem chuva
601543;-51.219848999999996;-30.025546999999996;R COMENDADOR MANOEL PEREIRA;R DA CONCEICAO;0;ABALROAMENTO;2015-01-16;SEXTA-FEIRA;10:17:00;0;0;1;0;0;1;0;0;0;0.0;Sem chuva
601550;-51.108836;-29.991471999999998;AV BERNARDINO SILVEIRA DE AMORIM;nan;1296;ABALROAMENTO;2015-01-15;QUINTA-FEIRA;23:00:00;1;0;0;0;0;2;0;0;1;0.0;Sem chuva
601552;-51.098475;-30.013329;nan;nan;4745;COLISÃO;2015-01-10;SÁBADO;07:30;0;0;2;0;0;0;0;0;0;0.2;Sem chuva
601566;-51.171065000000006;-29.987508000000002;nan;nan;0;COLISÃO;2015-01-15;QUINTA-FEIRA;20:50;0;0;1;0;1;0;0;0;0;0.0;Sem chuva
601588;-51.250109;-30.095006;nan;nan;0;ABALROAMENTO;2015-01-17;SÁBADO;02:35;0;0;1;0;0;0;0;0;0;0.0;Sem chuva
601615;-51.139312;-30.148007;AV IGNES E FAGUNDES;nan;633;CHOQUE;2015-01-16;SEXTA-FEIRA;09:20:00;0;0;1;0;1;0;0;0;0;0.0;Sem chuva
601617;-51.220036;-30.061351000000002;nan;nan;87;COLISÃO;2015-01-16;SEXTA-FEIRA;13:50;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601631;-51.214869;-30.144140999999998;nan;nan;1414;COLISÃO;2015-01-19;SEGUNDA-FEIRA;08:40;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601635;-51.213121;-30.068819;AV DR CARLOS BARBOSA;nan;1491;ABALROAMENTO;2015-01-18;DOMINGO;14:30:00;1;0;1;0;0;1;0;0;1;0.0;Sem chuva
601657;-51.091503;-30.02246;R DAS ARAUCARIAS;nan;65;ATROPELAMENTO;2015-01-18;DOMINGO;21:30:00;1;0;1;0;0;0;0;0;1;0.0;Sem chuva
601675;-51.159649;-30.063572999999998;nan;nan;5435;COLISÃO;2015-01-19;SEGUNDA-FEIRA;09:00;0;0;1;0;1;0;0;0;0;0.0;Sem chuva
601677;-51.197996;-30.047973;nan;nan;0;ABALROAMENTO;2015-01-19;SEGUNDA-FEIRA;12:05;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601683;-51.178815;-30.0049;nan;nan;0;COLISÃO;2015-01-19;SEGUNDA-FEIRA;11:15;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601687;-51.173915;-30.018003999999998;nan;nan;1775;ABALROAMENTO;2015-01-19;SEGUNDA-FEIRA;12:00;0;0;1;1;0;0;0;0;0;0.0;Sem chuva
601705;nan;nan;nan;nan;0;COLISÃO;2015-01-19;SEGUNDA-FEIRA;09:30;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601713;-51.19137;-29.997515999999997;nan;nan;47;CHOQUE;2015-01-16;SEXTA-FEIRA;19:45;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
